# Occurrences,Runtime in s
100,1.7668635845184326
500,14.567938804626465
1000,31.02286386489868
5000,1203.7521500587466
10000,2345.3445403575893
15000,3534.9957683086395
20000,5184.7622957229605
25000,6879.476635456085
30000,9771.302167892456
50000,11723.120613336563
