,Occurrences,fetching,flatten,id-columns,indeces,pivoting,threshold,time-clipping,total
0,100.0,0.5116934776306152,0.006875514984130859,0.40786266326904297,0.2026028633117676,0.3110480308532715,0.06447148323059082,0.2217245101928711,1.7668635845184326
1,500.0,4.489177465438843,0.008242130279541016,3.2768971920013428,1.855646133422852,2.4906234741210938,0.7705914974212646,1.6232967376708984,14.567938804626465
2,1000.0,7.966778516769409,0.008440494537353516,6.263607263565064,3.3053705692291264,7.8072261810302725,2.782829761505127,2.8166799545288086,31.02286386489868
3,5000.0,975.875431060791,0.012135028839111328,42.24626350402832,26.495053052902218,93.51256251335144,45.756468772888184,18.82198166847229,1203.7521500587466
4,10000.0,1713.335378408432,0.01602315902709961,114.83664155006409,57.69326829910278,292.92057704925537,124.72663187980652,40.399059772491455,2345.3445403575893
5,15000.0,2192.10018825531,0.01841592788696289,194.9084522724152,119.56565356254578,624.5823364257812,326.5165512561798,74.58254718780519,3534.9957683086395
6,20000.0,2858.0001153945923,0.019470691680908203,301.6768834590912,161.06364607810974,1129.3419194221494,605.1045670509337,125.87669396400452,5184.7622957229605
7,25000.0,3815.8359637260437,0.02130293846130371,317.5470061302185,158.9024300575256,1621.845561504364,846.8988859653473,113.79492950439452,6879.476635456085
8,30000.0,4757.854942321776,0.024993181228637692,462.7188546657562,225.84898591041562,2540.903867483139,1600.0125048160553,167.6957252025604,9771.302167892456
50000,50000.0,5883.946132183075,0.015487194061279297,545.8157336711884,353.328271150589,3016.016743659973,1678.9887821674347,238.09134221076965,11723.120613336563
