# LabTests,Runtime in s
10,0.15921854972839355
100,0.14407896995544436
1000,0.1632847785949707
10000,0.17736244201660156
100000,0.19797468185424805
1000000,0.3951280117034912
10000000,0.5564448833465576
100000000,0.6561017036437988
